"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.151666768889875,0.0104161733824088,14.5606993395496,4.99442407046341e-48
"data$gamemodeHOSTAGE",0.0320600617041272,0.00456548161799133,7.02227374605719,2.18286313717117e-12
"data$gamemodeSECURE_AREA",0.00794693298503426,0.00275883820440909,2.88053607940246,0.00396999511500124
"data$operatorBOPE-CAVEIRA",0.181823590695638,0.0235354580059026,7.72551741504403,1.11399909334343e-14
"data$operatorG.E.O.-JACKAL",0.0648859759953666,0.0146295017099457,4.43528271036426,9.19515376275926e-06
"data$operatorG.E.O.-MIRA",0.179653341822777,0.0251098015485165,7.15470974454557,8.38501494410747e-13
"data$operatorGIGN-DOC",0.148887549958536,0.0237527341751069,6.26822785372523,3.6518016590442e-10
"data$operatorGIGN-MONTAGNE",-0.00415467796768968,0.0319266935076174,-0.130131796037645,0.896462154402423
"data$operatorGIGN-RESERVE",-0.0735612245170384,0.0331280120597833,-2.22051430023295,0.0263838760536782
"data$operatorGIGN-ROOK",0.242894435638909,0.0236631327049134,10.2646779134394,1.01659645668218e-24
"data$operatorGIGN-TWITCH",0.0820414485561342,0.0111829521910884,7.33629610090903,2.19585928783834e-13
"data$operatorGSG9-BANDIT",0.156793960309477,0.0231950358260474,6.75980677440478,1.38175894085628e-11
"data$operatorGSG9-BLITZ",-0.0143426258333788,0.0341672103291179,-0.419777491203481,0.674648009606162
"data$operatorGSG9-IQ",0.0167508420523547,0.0142281126538056,1.17730597584736,0.239073402607106
"data$operatorGSG9-JAGER",0.138195493961641,0.0232329588447595,5.94825200203945,2.71021119698694e-09
"data$operatorGSG9-RESERVE",-0.00222901300456643,0.0223537791750135,-0.0997152645695799,0.920570381570106
"data$operatorJTF2-BUCK",0.00071792479350689,0.0131473931462507,0.0546058663889294,0.956452465031658
"data$operatorJTF2-FROST",0.267002744447506,0.0236073379916331,11.3101589235575,1.16877635967425e-29
"data$operatorNAVYSEAL-BLACKBEARD",0.0352479140244492,0.0133572781096637,2.63885454319829,0.00831866649717393
"data$operatorNAVYSEAL-VALKYRIE",0.180000064741949,0.0234088936152468,7.68938796085222,1.47840532935267e-14
"data$operatorSAS-MUTE",0.175795163586224,0.0233459487465415,7.53000726142116,5.0737501192599e-14
"data$operatorSAS-RESERVE",-0.089964395707828,0.0246803784484391,-3.6451789382313,0.000267205816615469
"data$operatorSAS-SLEDGE",-0.0330947024151582,0.0149730141195406,-2.21028993567621,0.0270850466580343
"data$operatorSAS-SMOKE",0.0775262509664208,0.0255148280562321,3.03847828390459,0.00237776241536025
"data$operatorSAS-THATCHER",0.0593699950879611,0.0111261325815804,5.3360855313058,9.4974613954698e-08
"data$operatorSAT-ECHO",0.123366562702049,0.0270727620595255,4.55685173277853,5.19260508665687e-06
"data$operatorSAT-HIBANA",-0.022184412175543,0.0150068185319258,-1.4782888277317,0.139330486771018
"data$operatorSPETSNAZ-FUZE",0.0375383527724336,0.0114053717412213,3.29128709034206,0.000997300773557704
"data$operatorSPETSNAZ-GLAZ",0.0799807369475736,0.0161592280533964,4.94953946335098,7.43892938242437e-07
"data$operatorSPETSNAZ-KAPKAN",0.122532626902868,0.0242371085271798,5.05557941309121,4.29086029800526e-07
"data$operatorSPETSNAZ-RESERVE",-0.0196188254889534,0.033898112976146,-0.578758631867181,0.562752047892605
"data$operatorSPETSNAZ-TACHANKA",0.0509854069815413,0.0293524629494332,1.73700609278942,0.0823860954353025
"data$operatorSWAT-ASH",0.0512144552713065,0.0108849876191279,4.70505406743035,2.53798683457834e-06
"data$operatorSWAT-CASTLE",0.110509621378376,0.0242164202154557,4.5634169045285,5.03277346104584e-06
"data$operatorSWAT-PULSE",0.141222046882489,0.0235597847607279,5.99419936628174,2.04490380545621e-09
"data$operatorSWAT-RESERVE",-0.0248863837439479,0.029696966525627,-0.83801097066504,0.402024542080649
"data$operatorSWAT-THERMITE",0.0590040446637365,0.0108180396034726,5.4542270897951,4.91863116431978e-08
"data$skillrankCopper",-0.0430600229759573,0.00433188870026234,-9.94024222583317,2.78149951619721e-23
"data$skillrankDiamond",0.253923803356888,0.0139278340629188,18.2313920606601,2.90823415040858e-74
"data$skillrankGold",0.032932195180426,0.00372284980903338,8.84596394421204,9.0741556450685e-19
"data$skillrankPlatinum",0.0527293853804967,0.00466767606572498,11.2967105338975,1.3622560381644e-29
"data$skillrankSilver",-0.00152265237286348,0.00407064914497603,-0.374056401972823,0.708362354190216
"data$skillrankUnranked",-0.19207098909808,0.0056605989201942,-33.9312132525176,2.30904418792479e-252
"data$roleDefender",-0.418301769684839,0.0206988021006564,-20.2089844451228,8.16098544764113e-91
"data$primaryweapontypeLight_Machine_Guns",-0.0437583038525226,0.013401393065589,-3.26520561245844,0.00109384642754295
"data$primaryweapontypeMarksman_Rifles",-0.0551115889829511,0.0117140221703982,-4.70475368590477,2.54172635427577e-06
"data$primaryweapontypeShield",-0.0442755230329998,0.0288123402587446,-1.53668610863924,0.12437019448816
"data$primaryweapontypeShotguns",-0.101789967122314,0.0107718780446511,-9.44960263199962,3.4011941621905e-21
"data$primaryweapontypeSubmachine_Guns",-0.0410924746659466,0.0109375349909336,-3.757014235841,0.000171952718229788
"data$secondaryweapontypeShotguns",-0.0187205767352205,0.0108959890236745,-1.71811633570344,0.0857753977671157
"data$secondaryweapontypeSubmachine_Guns",0.075248470659562,0.0108891662386704,6.91039782204208,4.83296441521011e-12
